epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after
87,-6.193462,4.2233458,28.835073,10.296116,2.6641111,3.4456697
88,-6.229744,4.16714,28.803047,8.280625,2.647763,3.6141517
89,-6.288823,4.088077,28.505789,7.364477,2.5113795,3.4474432
90,-6.368904,4.2839875,31.356688,7.889273,2.722238,3.663807
91,-6.4652715,4.1096325,29.027164,8.567476,2.5617893,3.3897948
92,-6.3732595,4.405746,30.664267,16.929214,2.7348356,3.717627
93,-6.4479256,4.1945276,27.791462,7.9266872,2.5020394,3.5315855
94,-6.671372,4.0846753,29.554478,8.484963,2.6319337,3.5759463
95,-6.683084,4.110823,26.723686,9.315368,2.62435,3.553675
96,-6.7681775,4.062028,25.555088,8.612402,2.53896,3.4724944
97,-6.769208,4.01802,27.457697,7.7782097,2.611909,3.4779751
98,-6.9182453,4.0334044,26.132816,8.607859,2.5094461,3.4418383
99,-7.016289,4.0909753,32.818752,9.672767,2.5662374,3.4086668
100,-7.041653,4.181382,31.690193,7.8633595,2.7005022,3.610506
101,-7.132213,4.3508205,31.433886,15.034269,2.6994624,3.614294
102,-7.130213,4.235414,29.312445,9.497172,2.6620824,3.5473428
103,-7.2802277,4.294214,31.152353,9.414397,2.8168154,3.6173966
104,-7.3154287,4.18772,31.866236,7.677347,2.6321912,3.5994503
105,-7.5182934,4.258448,33.58566,9.94011,2.6435184,3.4980714
106,-7.3551164,4.373294,36.6142,11.007505,2.6981235,3.517714
107,-7.6250634,4.4710407,40.340565,11.695394,2.731896,3.7652974
108,-7.799074,4.34678,37.027973,9.781496,2.652969,3.5140083
109,-7.571413,4.259297,35.414413,8.160171,2.7420068,3.660698
110,-7.799622,4.4854264,44.228264,11.2821865,2.7787971,3.684569
111,-7.88725,4.254881,47.5793,8.347721,2.5830493,3.4071932
112,-8.025374,4.508126,44.18385,15.551656,2.720033,3.573495
113,-7.904123,4.3389673,46.413067,9.101898,2.6990073,3.6288886
114,-8.089841,4.22706,41.325687,8.998776,2.635316,3.5338929
115,-8.141097,4.506494,54.165405,9.516791,2.682921,3.772914
116,-8.385183,4.3987355,53.421413,9.67373,2.6151347,3.4259608
117,-8.222684,4.3339343,50.41209,7.9862924,2.773816,3.6808782
118,-8.312727,4.746265,70.605354,38.17185,2.8111355,3.6791818
119,-8.367741,4.344811,45.10225,8.316853,2.6972265,3.7508109
120,-8.461385,4.4121103,48.52395,10.986798,2.7923136,3.564088
121,-8.422677,4.466633,48.364956,8.415775,2.856699,3.7596796
122,-8.447484,4.477666,57.18202,9.13612,2.9147913,3.7109432
123,-8.576392,4.5308166,68.47972,11.168767,2.7617998,3.613412
124,-8.888037,4.711122,68.68767,24.23696,2.8241527,3.674677
125,-8.859078,4.4900084,76.722305,11.65189,2.7998903,3.52989
126,-8.87592,4.369333,67.02369,7.524999,2.7651246,3.676182
127,-8.974758,4.7325654,61.511116,11.533696,2.9161055,3.716954
128,-8.897121,4.7782683,63.073982,13.160305,2.936602,3.8379478
129,-9.007819,4.5197206,61.513424,10.078009,2.7318594,3.5232563
130,-9.123457,4.59135,68.6374,13.1610155,2.8948035,3.7736757
131,-9.135117,4.502791,76.13001,10.361059,2.7093554,3.5596077
132,-9.225044,4.4475856,62.786266,8.91964,2.909635,3.6906965
133,-9.316336,4.493261,62.77663,12.134966,2.8683355,3.5830643
134,-9.312253,4.6515694,69.76382,10.463568,3.0152485,3.823938
135,-9.472206,4.5980268,86.40929,8.281733,2.7764344,3.6419492
136,-9.554831,4.6962337,82.7896,10.517066,2.9464328,3.619602
137,-9.48035,4.611559,81.50452,8.465464,2.9527752,3.6878033
138,-9.648348,4.575802,84.38438,9.262213,2.770096,3.6422706
139,-9.606975,4.7125406,93.53999,10.917564,2.8791897,3.6985838
140,-9.927403,4.616034,98.88343,8.216304,2.7411833,3.630308
141,-9.993268,4.826335,105.706955,14.899637,2.9466486,3.7829168
142,-9.924911,4.742049,99.270905,12.345393,2.8465023,3.706865
143,-9.997059,4.8192153,98.29393,20.987967,3.0437722,3.7962456
144,-10.045212,4.7396336,98.44476,7.814363,3.0812001,3.9253194
145,-10.143318,4.901688,102.572624,11.364089,3.021258,3.9269447
146,-10.246858,4.8716154,107.87496,8.508243,2.7837992,3.7427635
147,-10.320121,4.865599,119.63297,10.994841,2.9595902,3.614467
148,-10.397992,5.008275,123.55543,9.745245,3.0088494,3.9971685
149,-10.394931,4.8303967,126.05375,8.970119,2.7809153,3.5711682
150,-10.463088,4.8899193,123.54366,8.534256,2.9771986,3.797851
151,-10.530533,5.058549,125.4957,11.801601,2.9661841,3.8705616
152,-10.526309,4.8504395,121.29418,9.556476,2.882256,3.7637813
153,-10.668754,5.1429434,142.49042,10.922043,2.9712875,3.835282
154,-10.668742,4.992504,127.36421,10.747222,2.9782665,3.7638307
155,-10.778705,5.0163646,142.30441,10.695403,2.9300826,3.692965
156,-10.850754,4.9237866,141.2771,7.8950253,3.0213811,3.7229552
157,-10.982322,5.048267,149.25078,13.375879,2.8531122,3.5427732
158,-11.060901,4.9423585,143.1501,8.177148,2.9009573,3.6520443
159,-11.087578,5.0046825,139.73499,16.787642,3.101273,3.7773142
160,-11.064166,4.8317766,137.83784,7.1533933,2.7735612,3.6188335
161,-11.260318,4.9683,147.80646,9.227627,3.0444384,3.7851999
162,-11.208416,5.1888094,152.35172,9.243032,3.108547,3.9171562
163,-11.303383,5.0852427,152.46072,9.012005,3.0430245,3.9791105
164,-11.43922,4.9723425,153.8604,10.0095005,2.9907036,3.6295395
165,-11.507738,5.128354,167.06818,13.974616,2.9776351,3.7314606
166,-11.6256075,5.0190935,174.5425,9.719593,2.931203,3.6659963
167,-11.675015,5.2367277,184.71556,9.171564,3.0133226,3.775751
168,-11.610026,5.2184224,187.35458,9.480427,3.017464,3.7647426
169,-11.912857,5.080071,182.08937,7.47739,2.9559174,3.7274818
170,-12.034313,5.1645265,193.99661,9.22343,2.7776182,3.626936
171,-11.916888,5.388522,198.63129,19.349915,2.9501905,3.7154999
172,-11.873481,5.3525157,193.56459,12.498602,3.1600454,3.836341
173,-12.071816,5.1892395,188.74438,8.196581,2.9961498,3.6446004
174,-12.164615,5.4134774,205.18309,9.930704,3.1871545,4.0028152
175,-12.177129,5.2004037,210.9526,8.436663,2.9927075,3.751549
176,-12.408406,5.330727,219.71104,11.187336,3.003302,3.7167053
177,-12.514842,5.3732705,227.25267,8.405357,2.990074,3.675196
178,-12.492674,5.479307,227.62271,8.59005,3.1541617,3.9369514
179,-12.6065,5.4374714,226.02283,8.352324,2.9470618,3.6411488
180,-12.753065,5.4303284,238.95251,9.140123,3.0586948,3.71458
181,-12.812598,5.46019,237.81995,11.667748,3.079358,3.77001
182,-12.814786,5.4011917,236.10568,7.8430424,2.9405124,3.588859
183,-12.839015,5.4064283,236.79828,8.788611,2.9435315,3.5411353
184,-12.852811,5.559442,251.18398,13.773851,3.1563237,3.7925856
185,-12.80628,5.4092593,243.3376,8.951539,3.0493386,3.6397018
186,-13.135676,5.446938,245.61688,12.644655,3.0670457,3.7443104
187,-13.23777,5.5000515,255.6022,9.105412,2.927412,3.6163805
188,-13.342498,5.73356,253.51454,10.820235,3.1373897,3.9844265
189,-13.2023535,5.4045424,255.7042,10.049535,2.9991822,3.6426966
190,-13.358011,5.6053977,266.89035,11.049858,3.024775,3.6284726
191,-13.480272,5.575754,279.03378,11.889222,3.1434307,3.6697505
192,-13.563456,5.4555645,273.0273,13.956879,2.9679208,3.4993477
193,-13.658169,5.719873,272.0025,13.646501,3.1395845,3.7608902
194,-13.736747,5.6850395,284.4496,13.361026,3.0105367,3.6874585
195,-13.980575,5.6961913,286.39844,11.694238,3.3327627,4.0427046
196,-13.83365,5.7057753,295.133,12.01692,3.1473231,3.835697
197,-13.988936,5.7101054,290.42963,13.929753,3.1002004,3.7213907
198,-13.99061,5.7422485,304.1192,10.336598,3.0557654,3.6876967
199,-14.03725,5.7994986,292.0746,10.696129,3.2394438,3.8255084
200,-14.136973,5.851701,284.5173,12.44669,3.218971,3.934878
