epoch,energy,energy_std
0,6.444825,5.452616
1,3.5834804,5.3444295
2,0.8359629,5.447404
3,-1.4298775,5.8973336
4,-3.5108242,5.896482
5,-4.925253,6.586201
6,-6.236035,7.5929327
7,-6.994417,8.896937
8,-7.762719,8.763965
9,-8.256812,9.203827
10,-8.8011265,8.868559
11,-9.002477,7.0331564
12,-9.322248,5.7194285
13,-9.36791,5.184383
14,-9.49027,4.591535
15,-9.4854,4.109755
16,-9.500643,3.9388034
17,-9.58313,3.8654923
18,-9.535637,3.8070848
19,-9.832045,3.676956
20,-9.816159,3.7653365
21,-9.934481,3.928964
22,-9.895483,3.2372596
23,-10.117502,3.8536935
24,-10.172399,3.4034934
25,-10.127125,3.3046608
26,-10.356287,3.7922108
27,-10.472254,3.7131324
28,-10.558703,3.59404
29,-10.503401,3.4027572
30,-10.607535,3.5044923
31,-10.721219,3.6247818
32,-10.807531,3.4446077
33,-10.968615,3.2679121
34,-11.048592,3.376499
35,-11.156648,3.2106302
36,-11.291802,3.4096446
37,-11.319021,3.1995666
38,-11.453244,3.275553
39,-11.588178,3.2634046
40,-11.641361,3.248082
41,-11.730862,3.2830913
42,-11.780748,3.2025478
43,-11.889187,3.3088317
44,-12.062385,3.1860569
45,-12.080274,3.107089
46,-12.049312,3.1437972
47,-12.167871,3.2774937
48,-12.335108,3.1575592
49,-12.388239,3.1398423
50,-12.348821,2.9136505
51,-12.5429125,3.0879683
52,-12.661791,3.0973957
53,-12.723171,3.0590186
54,-12.715244,2.9411588
55,-12.741623,3.0456924
56,-12.837343,3.0517962
57,-12.898585,3.0618937
58,-12.919987,2.893748
59,-12.990978,2.8728364
60,-13.051352,2.8889964
61,-13.076584,2.7257783
62,-13.112692,2.9895263
63,-13.214268,2.9965715
64,-13.184823,2.8704703
65,-13.173393,2.8136873
66,-13.213376,2.9465659
67,-13.268999,2.7028582
68,-13.330258,2.669306
69,-13.240253,2.7809558
70,-13.450863,2.7448564
71,-13.471281,2.7692158
72,-13.443719,2.7487977
73,-13.482841,2.640825
74,-13.7450905,2.6925714
75,-13.744018,2.6968074
76,-13.661572,2.5486484
77,-13.829152,2.650705
78,-13.853592,2.6114235
79,-13.888162,2.505757
80,-13.922937,2.5127819
81,-13.927693,2.4668005
82,-13.949262,2.4214342
83,-14.025637,2.528192
84,-14.153613,2.4280236
85,-14.236025,2.4131606
86,-14.184557,2.4587889
87,-14.365814,2.502321
88,-14.445805,2.4231362
89,-14.442094,2.4148948
90,-14.523646,2.3268397
91,-14.620995,2.3363302
92,-14.680547,2.3489652
93,-14.821248,2.367492
94,-14.777037,2.211491
95,-14.89119,2.3525932
96,-14.943393,2.2740576
97,-15.036925,2.2657049
98,-15.1801405,2.2796214
99,-15.076824,2.207624
100,-15.190097,2.183333
101,-15.207013,2.1870382
102,-15.338051,2.2147768
103,-15.38493,2.1076777
104,-15.47289,2.1817958
105,-15.525951,2.206384
106,-15.547815,2.1258664
107,-15.563069,2.0653815
108,-15.613049,2.0729125
109,-15.764359,2.1649735
110,-15.70426,2.080029
111,-15.813543,2.0973828
112,-15.866196,2.0989509
113,-15.973905,2.0376158
114,-15.9777775,2.0283406
115,-15.978525,1.969362
116,-16.106606,2.0240877
117,-16.104837,1.9697772
118,-16.275944,1.9816712
119,-16.33721,1.9893465
120,-16.390402,1.9025342
121,-16.39234,1.8708184
122,-16.55657,1.917085
123,-16.559101,1.891759
124,-16.628305,1.8455002
125,-16.647385,1.9019912
126,-16.718433,1.8360252
127,-16.784645,1.7634408
128,-16.738314,1.7692873
129,-16.820044,1.7604731
130,-16.831724,1.7543856
131,-16.913908,1.7580523
132,-16.902248,1.6980038
133,-16.916824,1.7069266
134,-17.008413,1.7076398
135,-17.01459,1.686629
136,-16.988419,1.5950418
137,-17.016132,1.6455886
138,-17.126074,1.6390448
139,-17.090118,1.6564004
140,-17.027443,1.611083
141,-17.10955,1.6556036
142,-17.123062,1.6573921
143,-17.067122,1.6253344
144,-17.157629,1.5169014
145,-17.13589,1.5594139
146,-17.106749,1.561954
147,-17.203117,1.5363743
148,-17.112164,1.5266854
149,-17.18575,1.5079101
150,-17.178677,1.4736551
151,-17.129301,1.5243251
152,-17.128965,1.5259792
153,-17.173702,1.5860914
154,-17.165785,1.5453935
155,-17.22519,1.5632359
156,-17.148933,1.4907801
157,-17.193832,1.5377725
158,-17.147808,1.580341
159,-17.102535,1.4892949
160,-17.144379,1.5470234
161,-17.16968,1.48885
162,-17.168316,1.4876232
163,-17.18373,1.53501
164,-17.155907,1.5368878
165,-17.230055,1.5759444
166,-17.209894,1.5549077
167,-17.146208,1.4807303
168,-17.226671,1.5199238
169,-17.175337,1.5936763
170,-17.168211,1.48008
171,-17.211088,1.5572072
172,-17.214952,1.5591085
173,-17.232698,1.5587296
174,-17.230196,1.4573188
175,-17.280624,1.5559747
176,-17.2695,1.5305829
177,-17.218449,1.4820132
178,-17.26718,1.5253866
179,-17.201189,1.5377901
180,-17.202211,1.4586043
181,-17.182348,1.4688605
182,-17.225481,1.4936254
183,-17.17518,1.4372381
184,-17.181234,1.4801273
185,-17.178316,1.4701923
186,-17.283476,1.5832626
187,-17.25243,1.5933454
188,-17.194103,1.542392
189,-17.231869,1.4281192
190,-17.23834,1.4822525
191,-17.262365,1.5495684
192,-17.257704,1.4778434
193,-17.25741,1.5356818
194,-17.250149,1.4602886
195,-17.277575,1.4875703
196,-17.272799,1.427646
197,-17.256449,1.4885336
198,-17.211279,1.4619641
199,-17.234856,1.4705433
200,-17.300655,1.4958451
201,-17.335833,1.4627597
202,-17.261175,1.4396614
203,-17.24722,1.4613811
204,-17.253746,1.5237595
205,-17.30009,1.5096055
206,-17.27148,1.4054418
207,-17.222345,1.4646429
208,-17.2733,1.4401203
209,-17.2657,1.4441321
