epoch,energy,energy_std
0,1.5361396,5.7367764
1,1.7650433,3.5029342
2,1.766917,2.7178845
3,1.7660881,2.4579499
4,1.765624,3.115516
5,1.8108635,2.5864334
6,1.6700544,2.572081
7,1.6940657,2.213692
8,1.6700276,2.548934
9,1.6979783,5.7256947
10,1.6119574,2.2701511
11,1.6364155,3.1407416
12,1.5769573,2.357562
13,1.5448803,2.4803123
14,1.5066218,2.1098537
15,1.4181174,2.166584
16,1.4432001,2.274478
17,1.471297,2.4634094
18,1.4723493,2.320245
19,1.3188457,2.3370097
20,1.3415534,2.0120924
21,1.2964834,3.667783
22,1.290386,2.0345986
23,1.2409085,2.4164124
24,1.24974,2.1749227
25,1.2816703,1.9828348
26,1.2987128,2.143734
27,1.2669822,2.558872
28,1.2449747,2.5500603
29,1.1332893,2.7281828
30,1.1478723,2.3498204
31,1.1281563,2.3075037
32,1.1093526,2.546228
33,1.060724,3.7199125
34,1.0719649,3.5920029
35,1.0051595,2.3140423
36,0.9543067,2.084402
37,0.9104866,3.2126079
38,0.8249543,2.9465487
39,0.89506304,2.1741278
40,0.85643804,2.6849172
41,0.8735147,2.137222
42,0.8793379,2.6846066
43,0.7954041,3.5609531
44,0.7837089,2.875027
45,0.7037216,3.7223277
46,0.74129707,2.1335173
47,0.6960149,2.0500436
48,0.6633193,3.3769908
49,0.7250063,2.9778183
50,0.62358606,3.367791
51,0.51475084,2.151769
52,0.61057043,2.5624194
53,0.5284127,3.3495746
54,0.51548254,2.7917805
55,0.46977708,3.7243292
56,0.43903577,2.1743855
57,0.39776018,2.360148
58,0.38683784,2.2791142
59,0.3935561,2.5416806
60,0.35641766,2.4750235
61,0.39676657,2.3456354
62,0.022093048,13.984844
63,0.2607764,3.414353
64,0.2636144,3.0012338
65,0.21862958,2.4498222
66,0.22575277,2.5996737
67,0.13572186,2.4894538
68,0.117033124,2.8301945
69,0.04837253,2.5449536
70,0.0661371,2.814416
71,0.025008105,3.0432615
72,0.039425235,2.2143657
73,-0.06238496,2.5750363
74,-0.086675756,3.0615098
75,-0.12073111,5.480716
76,-0.214237,2.5146363
77,-0.11440483,2.3284528
78,-0.12080233,3.2096403
79,-0.10084356,2.511382
80,-0.16897485,2.6354623
81,-0.26016778,2.316533
82,-0.26834974,2.8961926
83,-0.19807272,4.672076
84,-0.31563884,2.7333844
85,-0.3233347,2.4466853
86,-0.40771574,2.452267
87,-0.4090783,4.9378347
88,-0.39096197,6.821891
89,-0.4989834,2.9089453
90,-0.5348605,3.0874507
91,-0.5307295,2.468912
92,-0.6844073,6.0635977
93,-0.63919044,2.490684
94,-0.67455053,2.4511936
95,-0.6448109,2.4744055
96,-0.6201775,2.3302608
97,-0.7311746,2.8433087
98,-0.734228,2.9069698
99,-0.779197,2.6042073
100,-0.8716471,2.8613064
101,-0.85037464,2.4214213
102,-0.91210765,2.8652608
103,-0.84671426,2.8658154
104,-1.0247996,2.661861
105,-1.0268811,2.6784997
106,-1.0647045,2.611681
107,-1.1677241,2.7420385
108,-1.1150869,3.1842995
109,-1.1778115,2.6929455
110,-1.2056408,2.9280176
111,-1.240579,3.541506
112,-1.2632202,2.9123638
113,-1.334112,3.0891366
114,-1.2306739,2.9597511
115,-1.41252,2.586653
116,-1.4493793,3.1870837
117,-1.5654349,3.03107
118,-1.5219169,2.5224788
119,-1.5498307,3.0738082
120,-1.7055678,2.5453682
121,-1.7277693,3.102923
122,-1.7741473,2.8102465
123,-1.8127562,2.8097248
124,-1.8739107,2.7572927
125,-1.7670113,2.8440733
126,-1.9747279,2.7109714
127,-1.9992398,4.2996507
128,-2.0498383,3.0193307
129,-2.1268375,3.0074563
130,-1.9956645,2.8232186
131,-2.1293232,3.7049272
132,-2.1745741,3.7139323
133,-2.349315,7.7897396
134,-2.239658,2.7813463
135,-2.3189967,2.9654732
136,-2.392752,4.2733808
137,-2.3013084,5.1795955
138,-2.4657788,2.7771332
139,-2.4902213,3.3799126
140,-2.461159,2.8564785
141,-2.526129,4.679174
142,-2.5470612,3.1677458
143,-2.6365502,3.1261127
144,-2.752062,2.9515471
145,-2.7392013,5.8198676
146,-2.9396484,3.6993444
147,-2.9416406,2.856121
148,-2.976263,3.351534
149,-3.0870516,3.046598
150,-3.1623828,3.2136052
151,-3.2030766,2.9959006
152,-3.245854,3.6264884
