epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after
0,2.933619,5.5827303,16.545376,15.459523,3.807703,5.084566
1,2.3005674,5.759897,17.120676,16.638401,3.8765912,5.2869787
2,2.007485,5.42394,16.902302,15.996813,3.7042468,5.055268
3,1.6204778,5.248276,16.822344,13.714773,3.549758,4.940073
4,1.6838293,5.347682,20.260035,21.093119,3.6368644,4.9262595
5,1.0466883,5.087914,18.08527,16.30705,3.4334059,4.6507463
6,0.7541488,4.7687354,15.551302,13.729337,3.2701662,4.3929577
7,0.4689088,4.936044,15.422423,14.349858,3.3291132,4.4878497
8,0.15869968,4.794504,15.773226,13.59527,3.2380774,4.3390155
9,0.21065521,4.5714517,15.463179,10.694696,3.130526,4.3080935
10,-0.13302635,4.76695,19.52792,27.872133,2.9947925,4.0408516
11,-0.2635141,4.6069536,15.512479,15.987641,3.0648515,4.1273675
12,-0.49693456,4.46559,14.230743,11.104151,3.0390604,3.9673872
13,-0.82511634,4.2994328,13.466606,10.359215,2.96398,3.9202745
14,-0.7412621,4.5161223,15.734497,15.920967,3.0104158,4.0228324
15,-0.8646148,4.330421,13.043132,9.830491,3.0852609,4.047018
16,-1.1244128,4.1804223,13.671276,10.401128,2.738121,3.719899
17,-1.1667902,4.306417,14.851309,12.271063,2.8476975,3.8612497
18,-1.3065835,4.2835364,13.577946,10.912589,2.8987136,3.8400445
19,-1.4467636,4.2055035,13.4212265,10.705648,2.780041,3.8125858
20,-1.4904561,4.1815586,14.1717005,11.068398,2.7865307,3.7180095
21,-1.5703979,4.215486,13.653577,10.221683,2.7672853,3.823731
22,-1.8617384,3.9996767,12.489243,8.967704,2.7014627,3.6234252
23,-1.8074244,4.0480638,13.587179,11.023319,2.6862617,3.691983
24,-1.858114,4.2028174,13.713841,14.358806,2.8254175,3.7533436
25,-2.1241162,4.151662,13.348707,10.199883,2.713981,3.5896459
26,-2.0425842,4.110394,16.336359,18.08825,2.5824585,3.5559044
27,-2.178472,4.0907497,12.978626,11.243973,2.7106116,3.5602653
28,-2.3285058,4.094745,12.819394,13.871605,2.622417,3.6382246
29,-2.2189858,3.9867132,12.504318,9.400226,2.6959736,3.6058307
30,-2.397375,4.0619893,12.286412,11.597107,2.5905347,3.5374622
31,-2.3781176,4.0847764,12.098044,10.45956,2.7435198,3.616082
32,-2.473002,4.044516,11.566101,9.389449,2.6832569,3.6447663
33,-2.5726502,4.006518,12.247731,9.120603,2.7298565,3.6317894
34,-2.6577165,4.1827765,13.035839,9.8953705,2.650166,3.5366304
35,-2.698552,4.006896,11.903627,7.942133,2.66417,3.714494
36,-2.7913022,3.9342477,11.80972,11.295684,2.6599302,3.6008065
37,-2.8051171,4.0033307,11.289825,11.04243,2.6232653,3.5281436
38,-2.9643443,3.7868373,10.882254,7.4480095,2.4912252,3.3599286
39,-2.9634805,3.910336,11.067824,11.188261,2.6670828,3.5195563
40,-2.9440336,4.0953164,18.180193,14.595342,2.6629198,3.621312
41,-3.0134904,4.0545964,15.235208,15.443917,2.6807885,3.5340555
42,-3.094528,3.906206,10.752532,14.872683,2.6400023,3.4856725
43,-3.2209008,3.9955745,13.162553,17.76861,2.6725473,3.6032004
44,-3.128567,3.7856886,10.550789,8.050941,2.4195611,3.3905175
45,-3.2520843,3.8359,10.828085,9.765346,2.5206807,3.4499605
46,-3.1911676,3.9715095,11.872793,9.84789,2.6366773,3.4942608
47,-3.4177282,3.7066045,9.785686,8.757943,2.4472508,3.416926
48,-3.3787704,3.864524,11.132887,10.000864,2.4205787,3.323078
49,-3.4858375,3.865425,10.398037,9.238016,2.7114394,3.5805175
50,-3.6260605,3.9292927,10.804408,7.715506,2.5540717,3.6453242
51,-3.5340176,3.7423496,10.564577,7.79815,2.525026,3.4764597
52,-3.5819824,3.8104,10.854605,8.922541,2.4581985,3.3416247
53,-3.6134062,3.7848577,10.222239,9.151398,2.5421824,3.4889734
54,-3.7566142,3.8227363,10.972006,8.560754,2.5969017,3.4539564
55,-3.8205209,3.8170044,10.401024,9.611654,2.5531025,3.5576403
56,-3.8282192,3.8950274,10.752686,9.358167,2.6335673,3.5936024
57,-3.7876592,3.8510334,10.779621,8.262995,2.6133144,3.4396842
58,-3.8588858,3.7909958,10.09308,9.014412,2.4498458,3.4139569
59,-3.895089,3.7068012,9.554602,8.267924,2.5106533,3.45198
60,-3.9878516,3.781327,10.367261,8.295304,2.5285525,3.515118
61,-4.1220264,3.8311725,10.075105,10.00496,2.6095755,3.5884278
62,-3.9529307,3.8381078,15.573378,11.940558,2.5103376,3.5060346
63,-4.1402087,3.9568474,11.35812,10.60559,2.678218,3.5781999
64,-4.2498164,3.7943084,16.816807,15.196754,2.4805226,3.380001
65,-4.1210485,3.9366593,10.640831,10.507003,2.5983531,3.5289862
66,-4.123356,3.835441,11.157957,8.871606,2.4612668,3.4081275
67,-4.198733,4.1328797,14.389802,13.909301,2.7598379,3.8089907
68,-4.31345,3.9850423,13.816652,9.41895,2.53453,3.6052914
69,-4.388167,3.714532,10.201142,8.055143,2.5553694,3.4857457
