epoch,energy,energy_std
0,8.588802,6.613548
1,8.524528,6.3771167
2,8.321604,6.4786315
3,8.058804,6.438682
4,7.786747,6.1622725
5,8.310877,6.7214956
6,8.243893,6.765548
7,7.7798676,6.6128387
8,7.7741814,6.2332287
9,8.072661,6.4633794
10,7.435422,6.1936536
11,7.9418926,6.471743
12,8.209713,6.483993
13,7.7931657,6.450415
14,8.408754,6.524462
15,7.9328666,6.395381
16,7.7848873,6.367312
17,7.5264688,6.163855
18,8.019078,6.0921
19,8.001962,6.3885646
20,7.869443,6.313285
21,8.145408,6.2902317
22,7.5304995,6.484334
23,8.3712435,6.409867
24,8.032328,6.3710384
25,7.58351,6.0658407
26,7.696871,6.230653
27,8.074521,6.49671
28,7.6430225,6.468306
29,8.075607,6.48339
30,8.359616,6.1800528
31,7.925618,6.3921757
32,7.9046993,6.213883
33,7.602399,6.5913606
34,7.8628902,6.544887
35,7.5294256,6.2232223
36,7.904488,6.3961186
37,7.7568946,6.265958
38,7.9862757,6.5843453
39,7.8596277,6.429632
40,7.505016,6.391413
41,7.6556053,6.127291
42,7.6275663,6.154194
43,7.6338573,6.227975
44,8.001922,6.449402
45,8.046609,6.3488903
46,8.184717,6.396891
47,7.56898,5.8801155
48,7.3339543,6.179302
49,7.9429436,6.563624
50,7.4797354,6.277929
51,7.45456,6.30106
52,7.985975,6.382363
53,7.510079,6.3185425
54,7.8235607,6.0716906
55,7.3277373,6.695981
56,8.05437,6.40806
57,7.6599064,6.392361
58,7.392105,5.9879746
59,7.648749,6.3890085
60,7.294082,6.4715285
61,7.4742713,6.1536508
62,7.539339,6.231426
63,7.814192,6.3158555
64,8.275378,6.4585032
65,8.241121,6.3593874
66,7.628307,6.3301024
67,7.308867,6.420236
68,8.091108,6.240532
69,7.1565995,6.1376657
70,7.440625,5.819317
71,7.652987,6.1724825
72,7.4665794,6.285367
73,7.5507245,6.444571
74,7.6151624,6.123355
75,7.3942285,6.0100765
76,7.441793,6.096373
77,7.7670665,6.20892
78,7.210199,5.998522
79,6.801666,6.27301
80,7.143617,5.9628425
81,7.9722085,6.6776924
82,7.798882,6.181843
83,7.2691174,6.1977625
84,7.1516113,6.0130615
85,7.4193635,6.557671
86,7.248199,5.909269
87,7.472501,6.366886
88,7.8327236,6.235559
89,7.607875,6.0390463
90,7.5045967,6.349035
91,7.5325537,6.2976255
92,7.492608,6.138088
93,7.3774247,6.1028967
94,7.7221575,6.104956
95,7.601718,5.918538
96,7.2008047,6.3721447
97,7.739174,5.6967053
98,7.157589,5.926191
99,7.165055,6.1282353
100,6.844005,5.925881
101,7.582137,6.146342
102,7.357285,6.1436014
103,7.519822,5.988921
104,7.660419,6.1570106
105,7.168592,5.878725
106,7.304174,5.9669366
107,7.412556,6.3131576
108,7.384171,6.1980553
109,6.750916,6.0671163
110,7.091998,5.847575
111,7.149501,6.0647197
112,6.9180984,6.1572533
113,7.1960893,5.849038
114,7.03111,6.065441
115,7.1190705,6.037454
116,7.321481,5.886971
117,7.4038615,5.85812
