epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after
87,-4.5808554,3.9477074,13.824861,9.168058,2.7539384,3.2614622
88,-4.5728636,4.46043,28.761734,16.293005,2.9021077,3.3150594
89,-4.59972,3.9746578,14.684971,8.952113,2.8236778,3.2076516
90,-4.5659647,4.0762534,13.818828,11.635194,2.7700968,3.2970412
91,-4.6867223,4.1034403,14.436366,8.729875,2.9149146,3.2785833
92,-4.8146405,3.867343,13.759114,7.826552,2.5856934,3.131854
93,-4.8564286,4.409041,22.88774,18.086792,2.9288101,3.4816918
94,-4.8256545,3.9410326,15.486997,7.677934,2.7574916,3.2217462
95,-4.851333,4.087177,14.055798,9.970797,2.7398593,3.3579671
96,-4.9560657,3.917479,12.9684515,8.615034,2.7626932,3.341995
97,-4.8662987,4.0851974,13.811054,9.8316345,2.7974746,3.2981632
98,-5.0484776,4.1344557,16.263035,11.384163,2.8686202,3.3154433
99,-4.901124,4.343427,18.267561,13.025888,2.9112015,3.396632
100,-5.0933895,4.095649,17.019087,11.418574,2.723332,3.2359617
101,-5.140323,4.1245565,15.056157,8.9793,2.8653007,3.425786
102,-5.182373,4.013568,15.244805,8.619265,2.800032,3.3338768
103,-5.3020396,4.1589146,18.01708,8.587023,2.778959,3.374431
104,-5.4507694,4.16523,21.09567,9.346131,2.7952118,3.2579298
105,-5.3333097,4.2329636,18.779907,10.521922,2.814197,3.2763999
106,-5.3945184,4.160784,17.478949,12.705828,2.725488,3.2867453
107,-5.5753055,4.3173313,21.438936,13.4269085,2.781631,3.2451236
108,-5.6465216,4.2831087,20.589828,10.421028,2.880173,3.3783507
109,-5.852659,4.2432256,21.524326,9.261633,2.9038713,3.4596324
110,-5.8433166,4.1905565,21.360285,9.163483,2.7776718,3.3916373
111,-5.8945613,4.164186,23.28376,8.36881,2.8401046,3.3778093
112,-5.9945755,4.2228246,21.863111,9.490221,2.83123,3.51091
113,-6.1754446,4.1783853,20.24321,7.9057283,2.786532,3.2968183
114,-6.1410832,4.383268,22.389471,9.972068,2.854343,3.2971373
115,-6.1528797,4.219329,20.262386,9.717966,2.664048,3.2151399
116,-6.3848963,4.291619,21.890833,9.465124,2.865709,3.50402
117,-6.380996,4.392886,24.641495,10.257214,2.8933296,3.322485
118,-6.5357704,4.3170056,26.33681,13.154518,2.696199,3.3247979
119,-6.733215,4.3867188,25.689934,10.333591,2.805178,3.34546
120,-6.6971455,4.2596006,26.783329,9.902892,2.698247,3.1939344
121,-6.6386337,4.3772902,24.063097,9.038385,2.890186,3.5350277
122,-6.786756,4.3580513,21.910578,8.481243,2.8128154,3.4409785
123,-7.0953155,4.2537694,22.357677,7.8294196,2.7163315,3.3098636
124,-7.217635,4.4526215,27.062084,9.483714,2.915292,3.5451365
125,-7.10692,4.4545097,25.84464,8.763766,2.817866,3.4744318
126,-7.3246756,4.362427,22.302994,9.305076,2.6931798,3.351417
127,-7.413874,4.3674755,26.534437,9.72793,2.5673432,3.2708573
128,-7.5885177,4.3575716,26.71413,8.835052,2.778113,3.491804
129,-7.757452,4.6285515,27.72948,9.651274,2.8276963,3.4619641
130,-7.6323757,4.5645957,28.427898,9.519447,2.8622413,3.5218828
131,-7.966255,4.468318,26.497322,7.8668904,2.7781024,3.4479246
132,-8.076224,4.487395,25.641981,9.432993,2.9481664,3.5563202
133,-8.212244,4.352029,26.239124,7.5158997,2.6137047,3.2713919
134,-8.219073,4.415251,26.772362,8.127929,2.7165632,3.4948468
135,-8.353202,4.4348946,26.490831,7.403802,2.6797905,3.4451265
136,-8.28491,4.3935237,26.719088,7.258741,2.6520648,3.2980354
137,-8.561664,4.5162005,25.895315,12.384288,2.8944852,3.5682068
138,-8.675039,4.6658144,28.887337,11.032804,2.7736795,3.5753481
139,-8.701422,4.5936556,30.65688,8.75964,2.7715306,3.553785
140,-8.762014,4.483303,29.135046,7.403407,2.6532173,3.3390853
141,-8.801096,4.638497,25.807577,9.401565,2.9055996,3.7659874
142,-8.983321,4.545099,29.341108,8.811749,2.8361878,3.5889041
143,-9.081478,4.374967,28.179335,8.606539,2.5624483,3.3068895
144,-9.193518,4.42764,28.355202,7.8286505,2.7001371,3.4044485
145,-9.181475,4.5169888,27.497255,11.360404,2.6332302,3.4408731
146,-9.457986,4.3495235,26.808193,6.848367,2.4503753,3.188715
147,-9.421885,4.6250668,25.081722,15.209125,2.8178418,3.445406
148,-9.391202,4.351003,29.199017,6.7617817,2.4918385,3.3843937
149,-9.513698,4.372233,25.614891,8.838976,2.6616755,3.342154
150,-9.620867,4.412479,29.22921,10.208392,2.6123605,3.3642178
151,-9.643153,4.4351735,28.753456,9.289329,2.536264,3.4170592
152,-9.916121,4.4089646,28.73741,11.864331,2.5408983,3.329091
153,-9.963459,4.4687543,27.44217,10.82519,2.5199711,3.2925913
154,-9.924719,4.4528265,30.658615,6.865657,2.6397872,3.3581054
155,-10.02772,4.613594,29.854427,6.9876285,2.6715245,3.3552547
156,-10.125904,4.4778376,29.817842,7.024849,2.6980717,3.4026783
157,-10.3051405,4.613586,30.550175,10.398991,2.6716127,3.6169713
158,-10.255603,4.597925,29.92747,10.59293,2.7399993,3.5937545
159,-10.200885,4.5088844,31.168049,10.971365,2.5878613,3.284998
160,-10.337407,4.4793687,27.463768,9.565665,2.626913,3.4557471
161,-10.441541,4.515176,28.955639,13.354029,2.668668,3.3491266
162,-10.451537,4.5111966,27.278124,9.110785,2.6864634,3.4842508
163,-10.68671,4.4905105,31.98663,6.727055,2.5812378,3.4326084
