epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370567,2.10961,5.014231,0.39240766,32.544605,7.24324,0.04
1,16.503847,3.511967,9.662099,0.5441668,60.281708,8.905108,0.04
2,14.20399,5.622729,13.244605,0.65652925,111.43496,10.094086,0.04
3,7.850968,7.38489,31.848644,0.6595721,161.13353,8.954621,0.04
4,13.195855,161.62395,180.35513,8.444017,3850.1392,202.38795,0.04
